doi,title,subject,author1,author2,author3,author4,author5,author6,author7,author8,keyword,status
10.22452/1/V000,Lose tonight talk.,Art,Erica Long,Alexandra Raymond,April Mccormick,Larry Ball,George Smith,Melissa Stewart,Norman Lucas,Robert Kim,Keyword_0,deleted
10.22452/2/V001,Over always security whom.,History,Lisa Goodman,,,,,,,,Keyword_1,approved
10.22452/3/V002,Commercial than born thus stage dream.,Art,Annette Wilson,Zachary Reed,,,,,,,Keyword_2,submitted
10.22452/4/V003,Owner exist work across.,Psychology,Erika Nixon,,Douglas Dillon,,,,,,Keyword_3,deleted
10.22452/5/V004,Education here American significant school certain break.,Mathematics,Ryan Bell,Anthony Diaz,,Emily Jones,,,,,Keyword_4,approved
10.22452/6/V005,Attorney ok marriage probably unit house.,Artificial Intelligence,Carlos Boyle,,,,Christina Berry,,,,Keyword_5,submitted
10.22452/7/V006,Whole doctor ever artist.,Literature,Leon Harris,Casey Leblanc,Mrs. Rebecca Kelly MD,,,Curtis Miller,,,Keyword_6,deleted
10.22452/8/V007,Civil security success notice popular relationship knowledge series.,Physics,Chelsea Garrison,,,,,,William King,,Keyword_7,approved
10.22452/9/V008,Morning entire television economic.,Artificial Intelligence,Alyssa Chang,Grant Jenkins,,Derrick Bernard,,,,Mikayla Jones,Keyword_8,submitted
10.22452/10/V009,Her including great focus she push clearly feeling.,Mathematics,David Hayes,,Karen Ramos,,,,,,Keyword_9,deleted
10.22452/11/V010,Suffer tough since.,Fiction,Henry Myers,Tamara Campbell,,,Holly Combs,,,,Keyword_10,approved
10.22452/12/V011,Lawyer effort decision sort phone blood.,Chemistry,James Johnson,,,,,,,,Keyword_11,submitted
10.22452/13/V012,Get thousand big its threat.,Artificial Intelligence,Patrick Nelson,Christopher Smith,Johnny Garcia,Evan King,,Brittany Adams,,,Keyword_12,deleted
10.22452/14/V013,Visit better order seat everyone four nation.,Economics,Melissa Howell MD,,,,,,,,Keyword_13,approved
10.22452/15/V014,Top lawyer day choose his give these support.,Mathematics,Regina Espinoza,Wendy Nguyen,,,,,Jesse Huynh,,Keyword_14,submitted
10.22452/16/V015,Really although price else perform.,Mathematics,Veronica Nguyen,,Meghan Clark,,Anthony Villegas,,,,Keyword_15,deleted
10.22452/17/V016,Beautiful with four management camera.,Art,Jennifer Macias,Julie Cruz,,Jessica Glover,,,,Alicia Sanford,Keyword_16,approved
10.22452/18/V017,Opportunity possible decade few second shake.,Artificial Intelligence,Colin Kerr,,,,,,,,Keyword_17,submitted
10.22452/19/V018,Church simple despite to else.,Education,David Garcia,Gregory Mckinney,Tara Clark,,,Marcus Reed,,,Keyword_18,deleted
10.22452/20/V019,One use beat six live.,History,Yolanda Lewis,,,,,,,,Keyword_19,approved
10.22452/21/V020,Letter check trial nation fight.,Technology,Christopher Mclaughlin,Dawn Griffin,,Jimmy Benton,Billy Shaw,,,,Keyword_20,submitted
10.22452/22/V021,Next beautiful put blue yourself.,Fiction,Anthony Davidson,,Elizabeth Roberts,,,,Dawn Werner,,Keyword_21,deleted
10.22452/23/V022,Pick language read foreign.,Technology,Charlotte Morris,Michele Burton,,,,,,,Keyword_22,approved
10.22452/24/V023,Interview both move choice table pressure.,Physics,Gregory Levine,,,,,,,,Keyword_23,submitted
10.22452/25/V024,Other group million now beat.,Physics,Alan Lopez,Shannon Carson,Sonya Jones,Scott Burgess,,Christina Myers,,Michelle Sanders,Keyword_24,deleted
